 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
200623A	03:18:00	242.0952	53.4678	4	NA	NA	NA	NA	NA
200612A	04:39:37	302.691	-45.354	1.5	171.48	38	2	0.7	0.2
200608A	17:28:38	309.628	-31.194	2.3	119.2	15	2	0.7	0.3
200529A	00:56:35	238.756	-11.076	1.2	79.57	32	2	1.8	0.3
200528A	10:27:23	176.637	58.185	1.0	58.7	180	0	17.5	0.5
200522A	11:41:34	5.668	-0.264	1.6	0.62	1.1	0.1	1.5	0.2
200519A	11:20:23	255.319	-30.393	1.0	71.88	120	2	20.6	0.5
200512A	20:33:15	7.417	-2.217	1.5	74.0	8.1	1.0	0.4	0.1
200509A	06:47:17	116.415	-4.634	1.7	828.2	73	4	1.5	0.2
200425A	00:16:21	85.217	-13.399	2.0	81.0	12	2	0.7	0.2
200416A	07:05:17	335.691	-7.525	1.4	5.04	8.7	0.8	3.8	0.5
200411A	04:29:02	47.686	-52.320	1.6	0.22	0.86	0.11	1.1	0.2
200410A	02:25:10	299.644	51.745	2.9	108.8	12	2	1.8	0.3
200409A	03:19:59	60.555	-50.243	2.7	17.91	2.3	0.6	1.2	0.2
200405B	NA	62.7894	-51.5326	4	NA	NA	NA	NA	NA
200325A	NA	31.7203	-31.816	4	NA	NA	NA	NA	NA
200324A	16:39:07	222.682	35.931	1.1	NA	23	2	0.7	0.2
200306C	22:50:39	198.577	11.263	1.3	53.5	28	2	1.3	0.3
200306A	00:19:40	101.114	-62.010	1.0	32.87	100	2	7.0	0.3
200303A	02:34:57	212.695	51.358	1.0	94.2	130	0.0	5.0	0.3
200228B	11:14:41	252.007	16.964	2.5	7.37	3.0	0.6	1.0	0.4
200228A	NA	333.8928	-42.9443	3	NA	NA	NA	NA	NA
200227A	07:20:08	56.433	9.489	1.0	32.8	71	2	5.7	0.4
200224A	03:24:49	248.743	41.666	3.5	45.0	2.9	0.9	0.4	0.1
200219A	07:36:49	342.595	-59.101	2.4	288.0	7.4	1.1	2.4	0.2
200216B	13:32:33	160.452	19.468	1.0	81.3	16	1	1.5	0.2
200216A	NA	311.4378	-11.6580	3	NA	NA	NA	NA	NA
200215A	14:39:31	34.100	12.775	1.0	11.7	11	1	2.7	0.2
200205B	19:21:43	107.760	-56.488	1.8	458.0	54	2	2.0	0.2
200131A	22:41:15	3.067	51.121	1.2	32.74	70	1	26.9	0.6
200127A	14:44:31	295.206	44.934	2.4	216.9	24	3	0.7	0.2
200125A	11:31:39	228.069	-8.142	1.8	350.83	87	4	4.0	0.2
200122A	01:41:00	210.010	27.548	1.0	174.96	110	3	9.1	0.4
200115A	11:50:23	56.453	5.607	1.1	158.4	100	0.0	3.6	0.3
200109A	01:46:16	307.116	52.988	1.2	112.0	21	2	0.7	0.2
200107B	19:26:28	107.067	-83.716	1.2	86.68	30	2	1.9	0.2
